trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.05, 'e': 0.9900498337491681}",20,0,-147.5940046145483,"{0: 12, 1: 2, 2: 3, 3: 0, 4: 3}",0
2,False,"{'a': 0.05, 'e': 0.9801986733067553}",20,0,-80.05911881560611,"{0: 13, 1: 1, 2: 5, 3: 0, 4: 1}",0
3,False,"{'a': 0.05, 'e': 0.9704455335485082}",30,0,-215.48528795775428,"{0: 15, 1: 4, 2: 7, 3: 1, 4: 3}",0
4,False,"{'a': 0.05, 'e': 0.9607894391523232}",25,0,-198.67779047061,"{0: 13, 1: 2, 2: 6, 3: 1, 4: 3}",0
5,False,"{'a': 0.05, 'e': 0.951229424500714}",20,0,-127.31697295059216,"{0: 12, 1: 1, 2: 5, 3: 0, 4: 2}",0
6,False,"{'a': 0.05, 'e': 0.9417645335842487}",25,0,-144.07621088166917,"{0: 14, 1: 3, 2: 6, 3: 0, 4: 2}",0
7,False,"{'a': 0.05, 'e': 0.9323938199059483}",25,0,-75.61319075138456,"{0: 16, 1: 2, 2: 6, 3: 1, 4: 0}",0
8,False,"{'a': 0.05, 'e': 0.9231163463866358}",20,3,-117.42754103694239,"{0: 10, 1: 1, 2: 3, 3: 1, 4: 2}",1
9,False,"{'a': 0.05, 'e': 0.9139311852712282}",20,0,-54.937864504023295,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 1}",0
10,False,"{'a': 0.05, 'e': 0.9048374180359596}",20,0,-51.91488711193795,"{0: 15, 1: 2, 2: 2, 3: 0, 4: 1}",0
11,False,"{'a': 0.05, 'e': 0.8958341352965282}",20,0,-75.1485678971185,"{0: 11, 1: 0, 2: 9, 3: 0, 4: 0}",0
12,False,"{'a': 0.05, 'e': 0.8869204367171575}",30,0,-167.3879723446848,"{0: 17, 1: 3, 2: 7, 3: 1, 4: 2}",0
13,False,"{'a': 0.05, 'e': 0.8780954309205613}",25,0,-161.10090988793448,"{0: 15, 1: 1, 2: 5, 3: 2, 4: 2}",0
14,False,"{'a': 0.05, 'e': 0.8693582353988059}",30,0,-138.5061643877261,"{0: 20, 1: 0, 2: 8, 3: 0, 4: 2}",0
15,False,"{'a': 0.05, 'e': 0.8607079764250578}",25,18,-1.3301132988954354,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 0}",1
16,False,"{'a': 0.05, 'e': 0.8521437889662113}",20,0,-167.43643520540724,"{0: 11, 1: 2, 2: 3, 3: 1, 4: 3}",0
17,False,"{'a': 0.05, 'e': 0.8436648165963837}",25,0,-229.5391761306446,"{0: 10, 1: 2, 2: 9, 3: 1, 4: 3}",0
18,False,"{'a': 0.05, 'e': 0.835270211411272}",20,0,-100.4778710229349,"{0: 11, 1: 4, 2: 3, 3: 1, 4: 1}",0
19,False,"{'a': 0.05, 'e': 0.8269591339433623}",25,0,-55.901418939314446,"{0: 17, 1: 3, 2: 4, 3: 1, 4: 0}",0
20,False,"{'a': 0.05, 'e': 0.8187307530779818}",20,7,-58.37970803428374,"{0: 8, 1: 2, 2: 2, 3: 0, 4: 1}",1
21,False,"{'a': 0.05, 'e': 0.8105842459701871}",25,0,-131.84913942595503,"{0: 15, 1: 5, 2: 1, 3: 2, 4: 2}",0
22,False,"{'a': 0.05, 'e': 0.8025187979624785}",25,0,-60.20762594992852,"{0: 18, 1: 3, 2: 3, 3: 0, 4: 1}",0
23,False,"{'a': 0.05, 'e': 0.794533602503334}",35,0,-169.46098406156244,"{0: 21, 1: 4, 2: 7, 3: 1, 4: 2}",0
24,False,"{'a': 0.05, 'e': 0.7866278610665535}",20,0,-63.049542060144184,"{0: 14, 1: 2, 2: 3, 3: 0, 4: 1}",0
25,False,"{'a': 0.05, 'e': 0.7788007830714049}",20,9,-37.41215417955436,"{0: 5, 1: 3, 2: 3, 3: 0, 4: 0}",1
26,False,"{'a': 0.05, 'e': 0.7710515858035663}",20,0,-86.7487303210794,"{0: 15, 1: 1, 2: 2, 3: 0, 4: 2}",0
27,False,"{'a': 0.05, 'e': 0.7633794943368531}",35,12,-40.178820208633745,"{0: 18, 1: 1, 2: 3, 3: 0, 4: 1}",1
28,False,"{'a': 0.05, 'e': 0.7557837414557255}",25,0,-52.14072406400077,"{0: 18, 1: 1, 2: 5, 3: 1, 4: 0}",0
29,False,"{'a': 0.05, 'e': 0.7482635675785653}",20,0,-81.1725092024032,"{0: 11, 1: 4, 2: 3, 3: 2, 4: 0}",0
30,False,"{'a': 0.05, 'e': 0.7408182206817179}",25,0,-51.848723860439335,"{0: 17, 1: 1, 2: 7, 3: 0, 4: 0}",0
31,False,"{'a': 0.05, 'e': 0.7334469562242892}",20,0,-129.057162845047,"{0: 11, 1: 0, 2: 5, 3: 3, 4: 1}",0
32,False,"{'a': 0.05, 'e': 0.7261490370736909}",30,0,-166.20770084999276,"{0: 18, 1: 3, 2: 5, 3: 2, 4: 2}",0
33,False,"{'a': 0.05, 'e': 0.7189237334319262}",25,0,-251.95600261359576,"{0: 13, 1: 1, 2: 4, 3: 3, 4: 4}",0
34,False,"{'a': 0.05, 'e': 0.7117703227626097}",20,0,-113.25569587123377,"{0: 10, 1: 2, 2: 6, 3: 1, 4: 1}",0
