trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.9704455335485082, 'e': 1.0}",20,0,-44.600933670354266,"{0: 13, 1: 2, 2: 5, 3: 0, 4: 0}",0
2,False,"{'a': 0.9417645335842487, 'e': 0.25}",30,0,-77.59596344596508,"{0: 22, 1: 3, 2: 3, 3: 1, 4: 1}",0
3,False,"{'a': 0.9139311852712282, 'e': 0.1111111111111111}",25,0,-174.7725538967842,"{0: 13, 1: 2, 2: 6, 3: 2, 4: 2}",0
4,False,"{'a': 0.8869204367171575, 'e': 0.0625}",25,0,-51.7388691597426,"{0: 21, 1: 1, 2: 1, 3: 1, 4: 1}",0
5,False,"{'a': 0.8607079764250578, 'e': 0.04}",25,15,-4.446507366291592,"{0: 9, 1: 0, 2: 0, 3: 1, 4: 0}",1
6,False,"{'a': 0.835270211411272, 'e': 0.027777777777777776}",30,0,-11.70704384307227,"{0: 27, 1: 0, 2: 2, 3: 1, 4: 0}",0
7,False,"{'a': 0.8105842459701871, 'e': 0.02040816326530612}",25,0,-214.86997681193262,"{0: 16, 1: 1, 2: 3, 3: 0, 4: 5}",0
8,False,"{'a': 0.7866278610665535, 'e': 0.015625}",20,0,8.493598246281588,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",0
9,False,"{'a': 0.7633794943368531, 'e': 0.012345679012345678}",25,4,-39.13202738470644,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 1}",1
10,False,"{'a': 0.7408182206817179, 'e': 0.01}",20,2,1.7905152770166284,"{0: 16, 1: 0, 2: 2, 3: 0, 4: 0}",1
11,False,"{'a': 0.7189237334319262, 'e': 0.008264462809917356}",20,0,-10.454071435894697,"{0: 16, 1: 1, 2: 3, 3: 0, 4: 0}",0
12,False,"{'a': 0.6976763260710311, 'e': 0.006944444444444444}",20,0,-30.876083014148413,"{0: 17, 1: 1, 2: 1, 3: 0, 4: 1}",0
13,False,"{'a': 0.6770568744981647, 'e': 0.005917159763313609}",25,19,7.05701057674543,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
14,False,"{'a': 0.6570468198150567, 'e': 0.00510204081632653}",25,10,-41.00762119763476,"{0: 11, 1: 2, 2: 1, 3: 0, 4: 1}",1
15,False,"{'a': 0.6376281516217733, 'e': 0.0044444444444444444}",30,18,8.656927998066148,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
16,False,"{'a': 0.6187833918061408, 'e': 0.00390625}",20,0,-59.66136346091998,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 2}",0
17,False,"{'a': 0.6004955788122659, 'e': 0.0034602076124567475}",35,6,-3.551892211806711,"{0: 28, 1: 0, 2: 0, 3: 0, 4: 1}",1
18,False,"{'a': 0.5827482523739896, 'e': 0.0030864197530864196}",20,8,-14.047110062599785,"{0: 9, 1: 2, 2: 0, 3: 1, 4: 0}",1
19,False,"{'a': 0.5655254386995372, 'e': 0.002770083102493075}",30,0,-44.92756448377184,"{0: 26, 1: 1, 2: 1, 3: 1, 4: 1}",0
20,False,"{'a': 0.5488116360940265, 'e': 0.0025}",20,9,-45.72073577815067,"{0: 9, 1: 0, 2: 0, 3: 1, 4: 1}",1
21,False,"{'a': 0.5325918010068972, 'e': 0.0022675736961451248}",20,0,-44.02708381188848,"{0: 17, 1: 1, 2: 0, 3: 1, 4: 1}",0
22,False,"{'a': 0.5168513344916993, 'e': 0.002066115702479339}",20,6,-32.22076780475977,"{0: 12, 1: 1, 2: 0, 3: 0, 4: 1}",1
23,False,"{'a': 0.5015760690660556, 'e': 0.001890359168241966}",20,8,-17.94301433728221,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 1}",1
24,False,"{'a': 0.4867522559599717, 'e': 0.001736111111111111}",20,5,-11.203736604496463,"{0: 12, 1: 1, 2: 1, 3: 1, 4: 0}",1
25,False,"{'a': 0.8, 'e': 0.0016}",20,0,26.334769872833924,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
26,False,"{'a': 0.45840601130522357, 'e': 0.0014792899408284023}",30,11,-24.595878087811716,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 1}",1
27,False,"{'a': 0.44485806622294116, 'e': 0.0013717421124828531}",25,0,-83.90918120303805,"{0: 20, 1: 2, 2: 0, 3: 1, 4: 2}",0
28,False,"{'a': 0.43171052342907973, 'e': 0.0012755102040816326}",20,0,15.914736142572691,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
29,False,"{'a': 0.418951549247639, 'e': 0.0011890606420927466}",35,21,24.230809372549313,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
30,False,"{'a': 0.40656965974059917, 'e': 0.0011111111111111111}",20,1,22.610829766475028,"{0: 18, 1: 1, 2: 0, 3: 0, 4: 0}",1
31,False,"{'a': 0.3945537103716012, 'e': 0.001040582726326743}",20,2,-54.412438277053695,"{0: 15, 1: 0, 2: 1, 3: 1, 4: 1}",1
32,False,"{'a': 0.38289288597511206, 'e': 0.0009765625}",30,19,7.156443837852655,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
33,False,"{'a': 0.3715766910220457, 'e': 0.0009182736455463728}",20,9,-9.760651192985248,"{0: 9, 1: 1, 2: 0, 3: 1, 4: 0}",1
34,False,"{'a': 0.3605949401730783, 'e': 0.0008650519031141869}",20,8,-49.69110524829157,"{0: 8, 1: 2, 2: 1, 3: 0, 4: 1}",1
35,False,"{'a': 0.3499377491111553, 'e': 0.0008163265306122449}",20,0,18.401094235890042,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",1
36,False,"{'a': 0.33959552564493917, 'e': 0.0007716049382716049}",25,0,12.04471840808049,"{0: 24, 1: 0, 2: 0, 3: 1, 4: 0}",0
37,False,"{'a': 0.3295589610751891, 'e': 0.0007304601899196494}",25,13,22.26601390176288,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
