trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
471,False,"{'a': 0.5, 'e': 0.3832351466006183}",25,6,-43.90099929487384,"{0: 16, 1: 0, 2: 1, 3: 1, 4: 1}",1
472,False,"{'a': 0.5, 'e': 0.38092482436688185}",25,12,5.560035376916296,"{0: 11, 1: 2, 2: 0, 3: 0, 4: 0}",1
473,False,"{'a': 0.5, 'e': 0.3786121213542329}",30,23,11.853928354288133,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
474,False,"{'a': 0.5, 'e': 0.37629705201705815}",20,6,-36.30240947042681,"{0: 8, 1: 2, 2: 4, 3: 0, 4: 0}",1
475,False,"{'a': 0.5, 'e': 0.37397963082453317}",20,12,2.20492321440817,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
476,False,"{'a': 0.5, 'e': 0.371659872260533}",25,12,5.388586683807127,"{0: 11, 1: 1, 2: 1, 3: 0, 4: 0}",1
477,False,"{'a': 0.5, 'e': 0.3693377908235408}",20,12,16.051497778250592,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
478,False,"{'a': 0.5, 'e': 0.3670134010265584}",25,7,-26.023377480123948,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 1}",1
479,False,"{'a': 0.5, 'e': 0.3646867173970143}",25,11,-20.112480137137425,"{0: 12, 1: 1, 2: 0, 3: 0, 4: 1}",1
480,False,"{'a': 0.5, 'e': 0.3623577544766736}",25,12,-5.1653326205323955,"{0: 11, 1: 0, 2: 2, 3: 0, 4: 0}",1
481,False,"{'a': 0.5, 'e': 0.3600265268215468}",20,3,21.42455298791942,"{0: 16, 1: 1, 2: 0, 3: 0, 4: 0}",1
482,False,"{'a': 0.5, 'e': 0.3576930490017995}",25,14,-42.57969386634793,"{0: 6, 1: 2, 2: 2, 3: 1, 4: 0}",1
483,False,"{'a': 0.5, 'e': 0.35535733560166033}",20,0,-32.719393668944114,"{0: 15, 1: 2, 2: 2, 3: 1, 4: 0}",0
484,False,"{'a': 0.5, 'e': 0.3530194012193304}",30,15,-9.731259012229511,"{0: 12, 1: 1, 2: 1, 3: 1, 4: 0}",1
485,False,"{'a': 0.5, 'e': 0.35067926046689174}",20,1,-40.167048747301735,"{0: 14, 1: 3, 2: 1, 3: 0, 4: 1}",1
486,False,"{'a': 0.5, 'e': 0.348336927970217}",20,6,10.918161705333915,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
487,False,"{'a': 0.5, 'e': 0.3459924183688763}",25,9,-14.401465248152263,"{0: 13, 1: 1, 2: 1, 3: 1, 4: 0}",1
488,False,"{'a': 0.5, 'e': 0.34364574631604705}",20,16,8.098113211951723,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
489,False,"{'a': 0.5, 'e': 0.34129692647842197}",25,11,-1.2236846403119541,"{0: 12, 1: 0, 2: 2, 3: 0, 4: 0}",1
490,False,"{'a': 0.5, 'e': 0.3389459735361172}",20,3,24.929192382915115,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
491,False,"{'a': 0.5, 'e': 0.3365929021825814}",25,0,9.439961383761453,"{0: 24, 1: 0, 2: 0, 3: 1, 4: 0}",0
492,False,"{'a': 0.5, 'e': 0.3342377271245026}",30,7,-29.67074635388339,"{0: 20, 1: 1, 2: 1, 3: 0, 4: 1}",1
493,False,"{'a': 0.5, 'e': 0.3318804630817173}",25,18,10.35945161064058,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
494,False,"{'a': 0.5, 'e': 0.32952112478711787}",20,11,14.963792173135602,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
495,False,"{'a': 0.5, 'e': 0.3271597269865614}",30,15,14.707811932608983,"{0: 14, 1: 1, 2: 0, 3: 0, 4: 0}",1
